job_id	job_name	state	exit_code	submit	start	end	elapsed	node_list
8237236	adp-cond-allenai_Sera-4.6-Li	FAILED	1:0	2026-06-01T23:22:21	2026-06-01T23:25:52	2026-06-01T23:28:06	00:02:14	babel-x5-20
8237237	adp-cond-nebius_SWE-agent-tr	CANCELLED by 17414	0:0	2026-06-01T23:22:21	2026-06-01T23:26:27	2026-06-01T23:43:58	00:17:31	babel-m5-32
8237461	adp-cond-swe-play-trajectori	FAILED	1:0	2026-06-01T23:45:16	2026-06-01T23:45:32	2026-06-02T00:03:18	00:17:46	babel-m5-20
8237462	adp-cond-mini-coder	CANCELLED by 17414	0:0	2026-06-01T23:45:16	2026-06-01T23:45:32	2026-06-02T00:14:56	00:29:24	babel-p5-24
8237463	adp-cond-coderforge_preview	FAILED	1:0	2026-06-01T23:45:16	2026-06-01T23:45:32	2026-06-01T23:48:47	00:03:15	babel-p9-16
8237464	adp-cond-nebius_SWE-rebench-	FAILED	1:0	2026-06-01T23:45:16	2026-06-01T23:45:32	2026-06-02T00:04:58	00:19:26	babel-v5-20
8237465	adp-cond-kwai-klear_swe-smit	CANCELLED by 17414	0:0	2026-06-01T23:45:16	2026-06-01T23:46:39	2026-06-02T00:14:55	00:28:16	babel-w5-32
8237466	adp-cond-logicstar_swe-star	CANCELLED by 17414	0:0	2026-06-01T23:45:16	2026-06-01T23:47:12	2026-06-02T00:14:55	00:27:43	babel-w5-28
8237467	adp-cond-scale_swe_distilled	FAILED	1:0	2026-06-01T23:45:16	2026-06-01T23:48:22	2026-06-02T00:06:17	00:17:55	babel-w5-20
8237468	adp-cond-hybrid-gym	CANCELLED by 17414	0:0	2026-06-01T23:45:16	2026-06-01T23:48:58	2026-06-02T00:14:55	00:25:57	babel-p9-16
8237469	adp-cond-nvidia_SWE-Zero-ope	CANCELLED by 17414	0:0	2026-06-01T23:45:16	2026-06-01T23:50:11	2026-06-02T00:14:55	00:24:44	babel-v5-32
8237470	adp-cond-gair_davinci_dev	FAILED	1:0	2026-06-01T23:45:16	2026-06-01T23:50:47	2026-06-01T23:50:51	00:00:04	babel-q5-16
8237471	adp-cond-allenai_Sera-4.6-Li	FAILED	1:0	2026-06-01T23:45:16	2026-06-01T23:52:02	2026-06-01T23:54:16	00:02:14	babel-u5-24
8237472	adp-cond-nebius_SWE-agent-tr	CANCELLED by 17414	0:0	2026-06-01T23:45:17	2026-06-01T23:53:11	2026-06-02T00:14:55	00:21:44	babel-s9-20
8237619	adp-cond-swe-play-trajectori	CANCELLED by 17414	0:0	2026-06-02T00:14:58	2026-06-02T00:15:20	2026-06-02T01:03:27	00:48:07	babel-n5-20
8237620	adp-cond-mini-coder	CANCELLED by 17414	0:0	2026-06-02T00:14:58	2026-06-02T00:15:20	2026-06-02T01:03:27	00:48:07	babel-n9-28
8237621	adp-cond-coderforge_preview	FAILED	1:0	2026-06-02T00:14:58	2026-06-02T00:15:20	2026-06-02T00:18:51	00:03:31	babel-p5-24
8237622	adp-cond-nebius_SWE-rebench-	CANCELLED by 17414	0:0	2026-06-02T00:14:58	2026-06-02T00:15:20	2026-06-02T01:03:28	00:48:08	babel-p9-16
8237623	adp-cond-kwai-klear_swe-smit	CANCELLED by 17414	0:0	2026-06-02T00:14:58	2026-06-02T00:15:20	2026-06-02T01:03:28	00:48:08	babel-s9-20
8237624	adp-cond-logicstar_swe-star	CANCELLED by 17414	0:0	2026-06-02T00:14:58	2026-06-02T00:15:20	2026-06-02T01:03:28	00:48:08	babel-v5-32
8237625	adp-cond-scale_swe_distilled	CANCELLED by 17414	0:0	2026-06-02T00:14:58	2026-06-02T00:15:20	2026-06-02T01:03:28	00:48:08	babel-w5-28
8237626	adp-cond-hybrid-gym	CANCELLED by 17414	0:0	2026-06-02T00:14:58	2026-06-02T00:15:20	2026-06-02T01:03:28	00:48:08	babel-w5-32
8237627	adp-cond-nvidia_SWE-Zero-ope	CANCELLED by 17414	0:0	2026-06-02T00:14:58	2026-06-02T00:15:54	2026-06-02T01:03:25	00:47:31	babel-q5-16
8237628	adp-cond-gair_davinci_dev	FAILED	1:0	2026-06-02T00:14:58	2026-06-02T00:15:54	2026-06-02T00:15:57	00:00:03	babel-q9-28
8237629	adp-cond-allenai_Sera-4.6-Li	FAILED	1:0	2026-06-02T00:14:58	2026-06-02T00:16:28	2026-06-02T00:18:33	00:02:05	babel-q9-28
8237630	adp-cond-nebius_SWE-agent-tr	CANCELLED by 17414	0:0	2026-06-02T00:14:58	2026-06-02T00:18:42	2026-06-02T01:03:25	00:44:43	babel-m5-28
8237962	adp-cond-swe-play-trajectori	CANCELLED by 17414	0:0	2026-06-02T01:07:31	2026-06-02T01:07:38	2026-06-02T06:52:05	05:44:27	babel-w9-26
8237963	adp-cond-mini-coder	CANCELLED by 17414	0:0	2026-06-02T01:07:31	2026-06-02T01:07:38	2026-06-02T06:52:05	05:44:27	babel-w5-28
8237964	adp-cond-coderforge_preview	FAILED	1:0	2026-06-02T01:07:31	2026-06-02T01:07:38	2026-06-02T01:11:14	00:03:36	babel-w5-32
8237965	adp-cond-nebius_SWE-rebench-	CANCELLED by 17414	0:0	2026-06-02T01:07:31	2026-06-02T01:08:52	2026-06-02T06:52:05	05:43:13	babel-u5-24
8237966	adp-cond-kwai-klear_swe-smit	CANCELLED by 17414	0:0	2026-06-02T01:07:31	2026-06-02T01:08:52	2026-06-02T06:52:05	05:43:13	babel-x5-20
8237967	adp-cond-logicstar_swe-star	CANCELLED by 17414	0:0	2026-06-02T01:07:31	2026-06-02T01:09:27	2026-06-02T06:52:05	05:42:38	babel-p9-28
